Satellite ID,Time,Position ECI,Velocity ECI,Position ECEF,Velocity ECEF
71,2024-05-01 12:00:20,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[7320117.82993732 -662775.29307432  616633.38795402],[-0.01156905  0.0166293  -0.22203622]
12,2024-05-01 12:00:30,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-3102779.44187939  6663044.03920059   541105.4010593 ],[-0.01956474  0.00525334  0.19484024]
13,2024-05-01 12:00:30,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-4948987.30560741  3469183.84789587  3561042.54114954],[-0.09422018  0.09431896  0.16021344]
14,2024-05-01 12:00:30,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3106127.1756657    273390.84158844  5626801.20812589],[-0.05441481  0.20350528  0.08265758]
15,2024-05-01 12:00:30,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 582940.81800403  271458.02658574 6184863.03541444],[ 0.060046    0.22362598 -0.01704631]
16,2024-05-01 12:00:30,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[2429148.68173205 3465318.21789047 5085695.80706659],[ 0.13470144  0.13456036 -0.11218266]
17,2024-05-01 12:00:30,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[ 586288.55179034 6661111.22419789 2623820.4942649 ],[ 0.09489607  0.02537404 -0.17725976]
24,2024-05-01 12:00:30,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-7.26604552e+06  3.80690240e+03  1.16499190e+06],[-0.00698785  0.03975182  0.20813864]
25,2024-05-01 12:00:30,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-4896238.9476806  -2823425.52397473  4312411.2860099 ],[0.05117279 0.14036723 0.16190312]
26,2024-05-01 12:00:30,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[-1262880.55632247 -2184729.04078438  6304323.54667435],[0.16738861 0.14030634 0.07228579]
27,2024-05-01 12:00:30,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[6.71259606e+02 1.28119987e+06 6.60699740e+06],[ 0.22544379  0.03963004 -0.03670046]
28,2024-05-01 12:00:30,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-2369135.31582371  4108432.29515462  5139331.64284612],[ 0.16728315 -0.06098536 -0.13585285]
29,2024-05-01 12:00:30,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-6002493.70718184  3469735.81196427  2294586.118173  ],[ 0.05106733 -0.06092447 -0.19860358]
36,2024-05-01 12:00:30,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[-3015271.20540442 -6457434.77905538   269483.10226546],[0.04929641 0.03447924 0.0316831 ]
37,2024-05-01 12:00:30,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[  451979.82748875 -5197515.4671177    736241.5271705 ],[0.16373607 0.01423861 0.02319364]
38,2024-05-01 12:00:30,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[ 1094483.21307869 -1564828.33536555  1005724.62943596],[ 0.203427   -0.09498936  0.00848946]
39,2024-05-01 12:00:30,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1730264.43422453   807939.48444893  1005724.62943596],[ 0.12867827 -0.1839767  -0.00848946]
40,2024-05-01 12:00:30,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-5197515.4671177   -451979.82748874   736241.5271705 ],[ 0.01423861 -0.16373607 -0.02319364]
41,2024-05-01 12:00:30,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-5840018.85270764 -4084666.9592409    269483.10226546],[-0.02545232 -0.0545081  -0.0316831 ]
54,2024-05-01 12:00:30,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 4453779.50324241 -5313458.89662119  1909769.50852536],[ 0.06882499 -0.03978422  0.1652965 ]
55,2024-05-01 12:00:30,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[ 4455712.31824511 -1624390.90295146  4277433.21027408],[ 0.08894569 -0.15424503  0.11306947]
56,2024-05-01 12:00:30,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1261852.12694038  221816.96077656 5498962.13765179],[-1.19927924e-04 -2.28900472e-01  3.05455588e-02]
57,2024-05-01 12:00:30,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-1933940.87936705 -1621043.16916515  5247048.60103639],[-0.10930625 -0.18909511 -0.06016301]
58,2024-05-01 12:00:30,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[-1935873.69436975 -5310111.16283487  3589192.62912643],[-0.12942695 -0.0746343  -0.13475094]
59,2024-05-01 12:00:30,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[ 1257986.49693497 -7156319.0265629    969615.39076231],[-4.03613292e-02  2.11465288e-05 -1.73232472e-01]
66,2024-05-01 12:00:30,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[6459919.55812648 1727303.18983975 2990055.75918182],[-0.00861257 -0.09785157  0.20200183]
67,2024-05-01 12:00:30,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[2993990.64856181 2990855.00576819 5795561.88032085],[-0.10928886 -0.15590675  0.12784122]
68,2024-05-01 12:00:30,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[ 166758.22218748  621048.4303385  7048151.87594332],[-0.20990426 -0.09774611  0.01942565]
69,2024-05-01 12:00:30,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[  805454.70537783 -3012309.96101963  6412195.26827487],[-0.20984337  0.01846971 -0.094195  ]
70,2024-05-01 12:00:30,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 4271383.61494251 -4275861.77694807  4058096.11676151],[-0.10916708  0.07652488 -0.18257618]
71,2024-05-01 12:00:30,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[ 7098616.04131683 -1906055.20151839   616633.38795402],[-0.00855168  0.01836424 -0.22203622]
12,2024-05-01 12:00:40,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-1916396.97900788  7095831.08255301   541105.4010593 ],[-0.01837669  0.00852491  0.19484024]
13,2024-05-01 12:00:40,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-4282081.31580373  4265148.4764788   3561042.54114954],[-0.07668388  0.10905546  0.16021344]
14,2024-05-01 12:00:40,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3013480.43729065   801064.44044156  5626801.20812589],[-0.01877546  0.20981624  0.08265758]
15,2024-05-01 12:00:40,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 620804.77801827  167663.01047852 6184863.03541444],[ 0.09744014  0.21004647 -0.01704631]
16,2024-05-01 12:00:40,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[2986489.11481412 2998345.61655272 5085695.80706659],[ 0.15574733  0.10951592 -0.11218266]
17,2024-05-01 12:00:40,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[1717888.23630104 6462429.65258997 2623820.4942649 ],[ 0.09783892  0.00875514 -0.17725976]
24,2024-05-01 12:00:40,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-7158144.51338774  1247557.27799325  1164991.90382824],[-7.99593168e-05  4.03612555e-02  2.08138639e-01]
25,2024-05-01 12:00:40,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-5307284.65260699 -1943609.30704159  4312411.2860099 ],[0.07444562 0.12953556 0.16190312]
26,2024-05-01 12:00:40,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[-1618223.39186841 -1936300.94127795  6304323.54667435],[0.18893563 0.10958167 0.07228579]
27,2024-05-01 12:00:40,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[ 219978.00808942 1262174.00952052 6606997.4041829 ],[ 0.22890005  0.00045347 -0.03670046]
28,2024-05-01 12:00:40,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-1630881.85269133  4453340.59455536  5139331.64284612],[ 0.15437447 -0.08872084 -0.13585285]
29,2024-05-01 12:00:40,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-5319943.11342991  4446032.22879172  2294586.118173  ],[ 0.03988447 -0.06876694 -0.19860358]
36,2024-05-01 12:00:40,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[-4076152.79591124 -5845964.65540804   269483.10226546],[0.05447096 0.02553172 0.0316831 ]
37,2024-05-01 12:00:40,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[ -444405.74939547 -5198168.55491323   736241.5271705 ],[ 0.16375665 -0.01400001  0.02319364]
38,2024-05-01 12:00:40,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[  810459.89436141 -1729085.30226408  1005724.62943596],[ 0.18416401 -0.12841005  0.00848946]
39,2024-05-01 12:00:40,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1566421.50839747  1092201.84989028  1005724.62943596],[ 0.09528568 -0.20328837 -0.00848946]
40,2024-05-01 12:00:40,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-5198168.55491323   444405.74939547   736241.5271705 ],[-0.01400001 -0.16375665 -0.02319364]
41,2024-05-01 12:00:40,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-6453034.19867012 -3024677.50325369   269483.10226546],[-0.03440737 -0.0493466  -0.0316831 ]
54,2024-05-01 12:00:40,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 3478478.70656901 -5997431.38331161  1909769.50852536],[ 0.06099882 -0.0509785   0.1652965 ]
55,2024-05-01 12:00:40,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[ 4111880.13653205 -2363146.16800269  4277433.21027408],[ 0.06122905 -0.1671941   0.11306947]
56,2024-05-01 12:00:40,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1.28119753e+06 2.53816879e+03 5.49896214e+06],[-0.03930149 -0.22550129  0.03054556]
57,2024-05-01 12:00:40,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-2182886.5055794  -1266062.70971992  5247048.60103639],[-0.14006228 -0.16759288 -0.06016301]
58,2024-05-01 12:00:40,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[-2816287.93554244 -4900347.92502884  3589192.62912643],[-0.14029251 -0.05137728 -0.13475094]
59,2024-05-01 12:00:40,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[   14394.67053175 -7266032.26182469   969615.39076231],[-0.03976196  0.00692991 -0.17323247]
66,2024-05-01 12:00:40,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[6660249.837684    595994.21702387 2990055.75918182],[-0.02523574 -0.09493294  0.20200183]
67,2024-05-01 12:00:40,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[3461774.88688552 2434195.6169817  5795561.88032085],[-0.13436394 -0.13489737  0.12784122]
68,2024-05-01 12:00:40,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[ 270608.30185068  583335.75620095 7048151.87594332],[-0.22353825 -0.06037179  0.01942565]
69,2024-05-01 12:00:40,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[  277916.66761432 -3105725.50453764  6412195.26827487],[-0.20358436  0.05411822 -0.094195  ]
70,2024-05-01 12:00:40,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 3476391.6184128  -4943926.90449546  4058096.11676151],[-0.09445616  0.09408264 -0.18257618]
71,2024-05-01 12:00:40,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[ 6667558.20344764 -3093067.04371472   616633.38795402],[-0.00528185  0.01955706 -0.22203622]
12,2024-05-01 12:00:50,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-673441.1534733  7319144.29056324  541105.4010593 ],[-0.01664614  0.01154481  0.19484024]
13,2024-05-01 12:00:50,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-3488765.32750491  4935202.97568037  3561042.54114954],[-0.05688381  0.12057256  0.16021344]
14,2024-05-01 12:00:50,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-2831873.67470088  1305090.06363912  5626801.20812589],[0.01741816 0.20993327 0.08265758]
15,2024-05-01 12:00:50,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 640342.15213477   58918.46648074 6184863.03541444],[ 0.13195779  0.19026624 -0.01704631]
16,2024-05-01 12:00:50,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[3455666.32616639 2442859.78136361 5085695.80706659],[ 0.17219546  0.0812385  -0.11218266]
17,2024-05-01 12:00:50,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[2798774.67336235 6072972.69340486 2623820.4942649 ],[ 0.09789349 -0.00812222 -0.17725976]
24,2024-05-01 12:00:50,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-6838930.13279888  2454478.90093036  1164991.90382824],[0.00683029 0.0397792  0.20813864]
25,2024-05-01 12:00:50,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-5561655.64832731 -1006416.40072355  4312411.2860099 ],[0.09552076 0.11487992 0.16190312]
26,2024-05-01 12:00:50,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[-1925795.15502102 -1630711.90039245  6304323.54667435],[0.20490514 0.07562208 0.07228579]
27,2024-05-01 12:00:50,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[ 432790.85381368 1205887.90159257 6606997.4041829 ],[ 0.22559904 -0.03873649 -0.03670046]
28,2024-05-01 12:00:50,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-844483.63065789 4666783.20324648 5139331.64284612],[ 0.13690856 -0.11383721 -0.13585285]
29,2024-05-01 12:00:50,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-4480344.12396418  5291078.70291538  2294586.118173  ],[ 0.02752419 -0.07457937 -0.19860358]
36,2024-05-01 12:00:50,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[-5016703.5400848  -5061917.61675313   269483.10226546],[0.05803748 0.01583049 0.0316831 ]
37,2024-05-01 12:00:50,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[-1327672.16156282 -5045368.11608386   736241.5271705 ],[ 0.15894301 -0.04182533  0.02319364]
38,2024-05-01 12:00:50,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[  502511.23969865 -1842298.47659126  1005724.62943596],[ 0.15946436 -0.15804     0.00848946]
39,2024-05-01 12:00:50,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1356336.73756187  1344221.66223208  1005724.62943596],[ 0.05908019 -0.21659883 -0.00848946]
40,2024-05-01 12:00:50,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-5045368.11608386  1327672.16156282   736241.5271705 ],[-0.04182533 -0.15894301 -0.02319364]
41,2024-05-01 12:00:50,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-6875551.51734533 -1875397.47792979   269483.10226546],[-0.04234669 -0.04272835 -0.0316831 ]
54,2024-05-01 12:00:50,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 2400490.81555213 -6504355.5525536   1909769.50852536],[ 0.05137192 -0.06066786  0.1652965 ]
55,2024-05-01 12:00:50,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[ 3646662.41271052 -3032139.72571795  4277433.21027408],[ 0.03170489 -0.17520749  0.11306947]
56,2024-05-01 12:00:50,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1262721.09782765 -216815.55168634 5498962.13765179],[-0.07732285 -0.21544516  0.03054556]
57,2024-05-01 12:00:50,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-2367391.8142136   -873707.20449038  5247048.60103639],[-0.16668357 -0.1411432  -0.06016301]
58,2024-05-01 12:00:50,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[-3613563.41137199 -4345923.03132602  3589192.62912643],[-0.14701654 -0.02660356 -0.13475094]
59,2024-05-01 12:00:50,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[-1229622.09648913 -7161247.20535764   969615.39076231],[-0.03798879  0.01363411 -0.17323247]
66,2024-05-01 12:00:50,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[6663964.94114651 -552908.91678989 2990055.75918182],[-0.04111394 -0.08921183  0.20200183]
67,2024-05-01 12:00:50,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[3827365.1391615  1805677.09204482 5795561.88032085],[-0.1554725  -0.10990573  0.12784122]
68,2024-05-01 12:00:50,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[ 366469.83750759  528402.60757324 7048151.87594332],[-0.23057323 -0.02121525  0.01942565]
69,2024-05-01 12:00:50,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[ -257825.66216131 -3107457.88573304  6412195.26827487],[-0.19131539  0.08816912 -0.094195  ]
70,2024-05-01 12:00:50,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 2578774.1398237  -5466043.89456775  4058096.11676151],[-0.07695682  0.10886302 -0.18257618]
71,2024-05-01 12:00:50,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[ 6039669.44147761 -4188769.41009618   616633.38795402],[-0.00185609  0.02017254 -0.22203622]
